Nom du fichier,vorace,revenuVorace,dynamique,revenuDynamique,local,revenuLocal
Restos/WC-500-10-01.txt,6596675,28,17177199,45,56967615,35
Restos/WC-500-10-02.txt,7406460,60,18945006,90,76389163,68
Restos/WC-500-10-03.txt,8459147,85,25610692,129,85951166,102
Restos/WC-500-10-04.txt,5734961,114,32194966,166,89460848,136
Restos/WC-500-10-05.txt,11039333,135,36059772,193,97986788,163
Restos/WC-500-10-06.txt,10249054,168,40708322,225,99756443,195
Restos/WC-500-10-07.txt,12819260,185,43090986,249,113144770,224
Restos/WC-500-10-08.txt,11827683,227,44524679,302,124828974,276
Restos/WC-500-10-09.txt,15991205,251,44863234,336,115197732,292
Restos/WC-500-10-10.txt,16690406,285,45821096,360,126335083,325
Restos/WC-50-1000-01.txt,1334812,965,26429640,1246,5064366,1000
Restos/WC-50-1000-02.txt,1399702,1012,21370727,1316,9400882,1137
Restos/WC-50-1000-03.txt,1270796,1196,23210126,1366,7100915,1103
Restos/WC-50-1000-04.txt,1296801,1398,26991829,1508,7289548,1431
Restos/WC-50-1000-05.txt,1360814,1185,28217187,1599,8630874,1468
Restos/WC-50-1000-06.txt,1501226,1711,37001946,1947,7592523,1766
Restos/WC-50-1000-07.txt,1331553,1843,44916587,2318,12243592,2037
Restos/WC-50-1000-08.txt,1608268,1791,45999036,2378,9264434,2184
Restos/WC-50-1000-09.txt,1769842,2783,41285952,2988,10663641,2783
Restos/WC-50-1000-10.txt,1472416,2407,50984849,3010,11934118,2812
Restos/WC-50-100-01.txt,1322154,110,2435935,131,5200837,123
Restos/WC-50-100-02.txt,1311091,87,2457890,133,7045170,125
Restos/WC-50-100-03.txt,1474149,113,2468448,138,7755753,129
Restos/WC-50-100-04.txt,1260991,110,2456276,141,8466841,132
Restos/WC-50-100-05.txt,1394040,122,3092454,166,7262700,149
Restos/WC-50-100-06.txt,1438240,174,3580364,217,8675759,184
Restos/WC-50-100-07.txt,1364344,201,4192121,239,11064046,219
Restos/WC-50-100-08.txt,1518060,214,10445651,258,9339094,245
Restos/WC-50-100-09.txt,1303577,254,11432919,309,9191974,290
Restos/WC-50-100-10.txt,1524568,243,11138964,304,15743479,286
Restos/WC-50-10-01.txt,1227075,10,885051,15,4999149,14
Restos/WC-50-10-02.txt,1187971,11,901454,16,3942671,13
Restos/WC-50-10-03.txt,1228287,11,862663,16,6191644,14
Restos/WC-50-10-04.txt,1200292,12,875186,16,4079711,14
Restos/WC-50-10-05.txt,1244003,15,939614,20,7190240,19
Restos/WC-50-10-06.txt,1331710,17,958688,22,7609725,20
Restos/WC-50-10-07.txt,1260906,17,1004971,23,6566137,21
Restos/WC-50-10-08.txt,1273114,22,1109415,29,9146117,27
Restos/WC-50-10-09.txt,1373603,30,1196887,36,9238195,34
Restos/WC-50-10-10.txt,1387314,26,1213087,33,13396882,30
